单价（元/平方米）,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途
10000.0,成华,猛追湾,2室1厅1厨1卫,中楼层 (共53层),80.54,平层,塔楼,东南,钢混结构,精装,有,2021-11-10,商品房,普通住宅
16400.0,成华,动物园,3室1厅1厨1卫,中楼层 (共20层),88.09,平层,塔楼,东南,钢混结构,精装,有,2021-10-19,商品房,普通住宅
18900.0,成华,理工大,3室2厅1厨1卫,低楼层 (共32层),85.83,平层,板楼,西南 东北,钢混结构,精装,有,2021-09-13,商品房,普通住宅
14500.0,成华,李家沱,3室1厅1厨1卫,中楼层 (共7层),106.97,平层,板楼,东南,砖混结构,简装,无,2021-04-10,商品房,普通住宅
20500.0,成华,万象城,3室1厅1厨1卫,低楼层 (共32层),89.83,平层,塔楼,东,框架结构,精装,有,2021-09-21,商品房,普通住宅
14950.0,成华,龙潭寺,3室1厅1厨1卫,高楼层 (共41层),83.93,平层,板塔结合,东北,钢混结构,精装,有,2021-09-19,商品房,普通住宅
19890.0,成华,东郊记忆,3室1厅1厨2卫,高楼层 (共33层),110.61,平层,板塔结合,西北,钢混结构,精装,有,2021-06-03,商品房,普通住宅
18600.0,成华,李家沱,4室2厅1厨2卫,高楼层 (共21层),89.27,平层,塔楼,南,钢混结构,简装,有,2021-11-02,商品房,普通住宅
21800.0,成华,驷马桥,3室1厅1厨1卫,中楼层 (共20层),91.61,平层,板塔结合,东南,钢混结构,精装,有,2021-03-10,商品房,普通住宅
13300.0,成华,驷马桥,3室2厅1厨1卫,低楼层 (共22层),91.14,平层,板塔结合,东南,钢混结构,简装,有,2021-09-19,商品房,普通住宅
19200.0,成华,万象城,3室1厅1厨1卫,高楼层 (共33层),85.71,平层,塔楼,南,钢混结构,简装,有,2021-10-16,商品房,普通住宅
18900.0,成华,八里小区,3室2厅1厨2卫,高楼层 (共7层),124.22,平层,板楼,东南,混合结构,简装,无,2020-10-27,商品房,普通住宅
11500.0,成华,动物园,2室1厅1厨1卫,中楼层 (共18层),71.28,平层,板塔结合,南,钢混结构,精装,有,2021-11-24,商品房,普通住宅
8300.0,成华,万象城,2室2厅1厨1卫,低楼层 (共7层),66.85,平层,塔楼,西北,钢混结构,精装,无,2021-11-28,商品房,普通住宅
7500.0,成华,理工大,1室1厅1厨1卫,高楼层 (共22层),55.31,平层,板楼,东南,钢混结构,毛坯,有,2021-11-28,商品房,普通住宅
19500.0,成华,万象城,2室2厅1厨1卫,中楼层 (共33层),80.54,平层,塔楼,南,钢混结构,精装,有,2021-11-19,商品房,普通住宅
17500.0,成华,驷马桥,2室1厅1厨1卫,高楼层 (共19层),77.75,平层,板塔结合,东南,钢混结构,精装,有,2021-11-30,商品房,普通住宅
6900.0,成华,新华公园,2室1厅1厨1卫,中楼层 (共7层),68.19,平层,板楼,南,未知结构,简装,无,2021-11-27,商品房,普通住宅
17800.0,成华,万象城,2室1厅1厨1卫,高楼层 (共32层),68.4,平层,板塔结合,南 北,钢混结构,精装,有,2021-11-26,商品房,普通住宅
16800.0,成华,理工大,3室1厅1厨1卫,中楼层 (共41层),80.92,平层,塔楼,西北,框架结构,精装,有,2021-12-11,商品房,普通住宅
19950.0,成华,万象城,3室2厅1厨2卫,高楼层 (共26层),122.69,平层,塔楼,南 北,框架结构,简装,有,2021-11-26,商品房,普通住宅
20900.0,成华,万象城,3室2厅1厨2卫,低楼层 (共18层),105.61,平层,板塔结合,东南,框架结构,精装,有,2021-11-21,商品房,普通住宅
23600.0,成华,东郊记忆,3室2厅1厨2卫,中楼层 (共33层),132.85,平层,板塔结合,东南,钢混结构,精装,有,2021-12-01,商品房,普通住宅
15300.0,成华,龙潭寺,3室1厅1厨1卫,中楼层 (共34层),79.73,平层,板塔结合,东,钢混结构,精装,有,2021-11-30,商品房,普通住宅
15800.0,成华,新华公园,3室2厅1厨2卫,低楼层 (共8层),114.42,平层,板楼,南,钢混结构,简装,有,2021-11-23,商品房,普通住宅
14600.0,成华,李家沱,2室2厅1厨1卫,中楼层 (共21层),80.38,平层,塔楼,东北,钢混结构,精装,有,2021-11-24,商品房,普通住宅
12600.0,成华,动物园,2室1厅1厨1卫,中楼层 (共20层),70.77,平层,塔楼,西北,框架结构,简装,有,2021-12-04,商品房,普通住宅
4400.0,成华,驷马桥,1室1厅1厨1卫,中楼层 (共6层),44.71,平层,板楼,南,砖混结构,简装,无,2021-12-10,商品房,普通住宅
